очутился, 5
офицеры, 5
отцу, 5
отправиться, 5
отворотился, 5
ответ, 5
отвели, 5
остались, 5
оставил, 5
оно, 5
окружали, 5
ожидая, 5
ожидать, 5
одном, 5
одна, 5
оборотился, 5
обедать, 5
недавно, 5
наших, 5
нашем, 5
нахмурясь, 5
навстречу, 5
мятежников, 5
мятежники, 5
мужа, 5
муж, 5
молить, 5
мнение, 5
место, 5
места, 5
меры, 5
мало-помалу, 5
лошадей, 5
лег, 5
ласково, 5
краю, 5
кончил, 5
комнате, 5
комендантского, 5
кого, 5
кафтане, 5
кармана, 5
караулом, 5
капитанша, 5
капитан, 5
какому, 5
каков, 5
каким, 5
казни, 5
казался, 5
имел, 5
имеет, 5
изволь, 5
избу, 5
идет, 5
иваном, 5
знаю, 5
злодеев, 5
записан, 5
жители, 5
жаль, 5
дочери, 5
дороге, 5
долг, 5
догадался, 5
делу, 5
девушку, 5
дворянин, 5
дворе, 5
дверей, 5
двадцать, 5
дали, 5
громко, 5
грозно, 5
гринева, 5
грех, 5
гости, 5
город, 5
головушка, 5
голове, 5
году, 5
говорить, 5
говорили, 5
глазами, 5
герасима, 5
гарнизон, 5
высокого, 5
вынул, 5
выйти, 5
встали, 5
вполголоса, 5
вина, 5
видеть, 5
видел, 5
взглянув, 5
вашу, 5
ваши, 5
важно, 5
буран, 5
бумаги, 5
будь, 5
боже, 5
благословения, 5
бедный, 5
бедную, 5
башкирцы, 5
батюшке, 5
ямщика, 4
шайки, 4
чтение, 4
читатель, 4
чашку, 4
хрыч, 4
хозяйка, 4
ходил, 4
ушла, 4
ухо, 4
утра, 4
успела, 4
успел, 4
усмешкою, 4
услыша, 4
усердие, 4
упала, 4
улыбкою, 4
узнали, 4
углу, 4
трепетом, 4
требовали, 4
толпе, 4
товарищ, 4
тихонько, 4
твоим, 4
твое, 4
такого, 4
таков, 4
такие, 4
такая, 4
схватил, 4
стыдно, 4
ступайте, 4
страшно, 4
стороне, 4
сторона, 4
стене, 4
старшин, 4
старался, 4
спорить, 4
спокойствие, 4
согласия, 4
согласился, 4
снегом, 4
снег, 4
сначала, 4
смотрел, 4
смеркаться, 4
слушал, 4
случае, 4
слезы, 4
следующее, 4
сироту, 4
сильное, 4
священника, 4
самым, 4
самому, 4
саблею, 4
руками, 4
родной, 4
рассказал, 4
рано, 4
раздавались, 4
разбойниками, 4
радости, 4
пять, 4
пушки, 4
путь, 4
прошу, 4
прошло, 4
прошла, 4
проститься, 4
простился, 4
просить, 4
просим, 4
просил, 4
продолжать, 4
пришли, 4
пристально, 4
принес, 4
приказал, 4
прикажи, 4
приехали, 4
приехала, 4
привели, 4
привел, 4
предложил, 4
почел, 4
поцелуй, 4
похоже, 4
поутру, 4
посреди, 4
посмотрел, 4
последовал, 4
последний, 4
попадьи, 4
помощь, 4
поминутно, 4
помилуй, 4
полу, 4
положении, 4
полк, 4
поле, 4
покойного, 4
показалась, 4
пока, 4
поздно, 4
поезжай, 4
подумал, 4
подозрения, 4
подать, 4
повторяя, 4
повторял, 4
повесить, 4
по-видимому, 4
площадь, 4
площади, 4
передо, 4
первом, 4
палашку, 4
очередь, 4
офицеру, 4
отроду, 4
отпусти, 4
отправить, 4
отдал, 4
отворилась, 4
ответа, 4
отвести, 4
отведи, 4
остановиться, 4
остановилась, 4
оставайся, 4
оправдание, 4
окна, 4
обыкновенного, 4
объяснить, 4
объявить, 4
облачко, 4
нужно, 4
ногам, 4
никому, 4
неужто, 4
неприятеля, 4
неправда, 4
небо, 4
наша, 4
находилась, 4
нападения, 4
назад, 4
мыслию, 4
могли, 4
милость, 4
мигом, 4
матушке, 4
лице, 4
лист, 4
кум, 4
кругом, 4
крик, 4
которых, 4
которым, 4
конь, 4
кончилось, 4
комнаты, 4
комендантши, 4
комендантский, 4
колени, 4
кое-как, 4
кибитку, 4
качая, 4
капрал, 4
календарь, 4
какие, 4
казнить, 4
казаки, 4
казаками, 4
искренно, 4
искать, 4
инвалидов, 4
инвалид, 4
изумленный, 4
издали, 4
изволите, 4
зурина, 4
здоровье, 4
задумался, 4
забуду, 4
жителей, 4
жаловать, 4
ехал, 4
егоровны, 4
дружески, 4
другую, 4
другом, 4
другое, 4
друга, 4
дрожащим, 4
дорожный, 4
дому, 4
доме, 4
дожил, 4
доброму, 4
добрая, 4
дней, 4
дерзость, 4
держать, 4
держа, 4
действовать, 4
девушки, 4
движение, 4
даст, 4
далее, 4
грустно, 4
государю, 4
господь, 4
господину, 4
